id,geohash,is_dispatch
B0FFG7FNN4,wm6n2q,1.0
B0FFG7RPR6,wm6n2q,1.0
B0FFFABG4Q,wm6n2q,1.0
B0FFHFLPGX,wm6n2q,1.0
B001C08UN9,wm6n2q,1.0
B0FFG7RPTN,wm6n2q,1.0
B0FFFABG4I,wm6n2q,1.0
B0FFHQ1NPO,wm6n2q,1.0
B001C7Y759,wm6n2q,1.0
B001C8OP3R,wm6n2q,1.0
B001C802KM,wm6n2q,1.0
B001C09WLM,wm6n2q,1.0
B0FFFV6KCS,wm6n2q,1.0
B001C8OM92,wm6n2q,1.0
B001C7WBQ4,wm6n2q,1.0
B001C0AEDA,wm6n2q,1.0
B001C7VLND,wm6n2q,1.0
B001C8OQAQ,wm6n2q,1.0
B0FFFA6I6C,wm6n2q,1.0
B001C7YBP1,wm6n2q,1.0
B001C08WCP,wm6n2q,1.0
B001C0941Y,wm6n2q,1.0
B0FFH2E68Y,wm6n2q,1.0
B001C7U9G3,wm6n2q,1.0
B001C09UZ0,wm6n2q,1.0
B001C0ADN9,wm6n2q,1.0
B0FFK9S413,wm6n2q,1.0
B001C8OPOF,wm6n2q,1.0
B0FFF9UO00,wm6n2q,1.0
B001C7WRUT,wm6n2q,1.0
B001C8OQUG,wm6n2q,1.0
B001C8OP72,wm6n2q,1.0
B001C8OQU3,wm6n2q,1.0
B001C8MQK7,wm6n2q,1.0
B0FFFHBZQH,wm6n2q,1.0
B001C0AJED,wm6n2q,1.0
B001C7TDR3,wm6n2q,1.0
B0FFG7RP2I,wm6n2q,1.0
B001C08FHF,wm6n2q,1.0
B001C08NQX,wm6n2q,1.0
B001C8OQLO,wm6n2q,1.0
B001C07X2M,wm6n2q,1.0
B001C08U8Q,wm6n2q,1.0
B0FFFZENDI,wm6n2q,1.0
B0FFG7RP5J,wm6n2q,1.0
B0FFG50ISF,wm6n2q,1.0
B001C7XDIN,wm6n2q,1.0
B0FFHDLKMH,wm6n2q,1.0
B001C7XTZA,wm6n2q,1.0
B001C7WSDS,wm6n2q,1.0
B001C068UD,wm6n2q,1.0
B001C7SGK5,wm6n2q,1.0
B001C7WQKS,wm6n2q,1.0
B0FFF9UO9E,wm6n2q,1.0
B001C8OQAS,wm6n2q,1.0
B001C7Y79J,wm6n2q,1.0
B0FFG7FNNF,wm6n2q,1.0
B001C7XDL6,wm6n2q,1.0
B001C0AB8X,wm6n2q,1.0
B001C8OKN9,wm6n2q,1.0
B0FFFPFPH6,wm6n2q,1.0
B0FFG7RP5R,wm6n2q,1.0
B001C090QT,wm6n2q,1.0
B0FFG3ML0H,wm6n2q,1.0
B001C8MM8Z,wm6n2q,1.0
B001C8066N,wm6n2q,1.0
B0FFG9IELE,wm6n2q,1.0
B0FFG7RQCS,wm6n2q,1.0
B001C8SAYY,wm3ky8,0.0
B001C09JWC,wm6n89,1.0
B001C8WH8D,wm6n89,1.0
B0FFG20JIA,wm6n89,1.0
B001C8MZI5,wm6n89,1.0
B001C7YQ42,wm6n89,1.0
B001C7XQVX,wm6n89,1.0
B001C08FOT,wm6n89,1.0
B001C7SWXT,wm6n89,1.0
B001C8WAC5,wm6n89,1.0
B001C0A9SR,wm6n89,1.0
B001C090MJ,wm6n89,1.0
B001C8X2SD,wm6n89,1.0
B001C8085C,wm6n89,1.0
B001C7WJXP,wm6n89,1.0
B0FFFABBHE,wm6n89,1.0
B001C8MH0N,wm6n89,1.0
B001C80TPY,wm6n89,1.0
B001C0A9G5,wm6n89,1.0
B001C7YPXB,wm6n89,1.0
B0FFG0WIOF,wm6n89,1.0
B001C80BHQ,wm6n89,1.0
B001C08IPE,wm6n89,1.0
B001C80THL,wm6n89,1.0
B001C80D45,wm6n89,1.0
B001C7U7QB,wm6n89,1.0
B001C80C2D,wm6n89,1.0
B001C8MZHD,wm6n89,1.0
B0FFFZBU8L,wm6n89,1.0
B0FFGAI6Q1,wm6n89,1.0
B0FFG73ENM,wm6n89,1.0
B0FFFABPB3,wm6n89,1.0
B001C8N1TC,wm6n89,1.0
B001C0AKFL,wm6n89,1.0
B001C04BE0,wm6n89,1.0
B0FFFABMVG,wm6n89,1.0
B001C8085L,wm6n89,1.0
B001C7WJBR,wm6n89,1.0
B0FFFAAXKG,wm6n89,1.0
B001C8WQAM,wm6n89,1.0
B001C04BE5,wm6n89,1.0
B001C8OD7Z,wmd083,0.0
B001C8Z33F,wm98mp,0.0
B0FFF2E13Y,wm3yvb,1.0
B0FFFVNJRR,wm3yvb,1.0
B0FFGFC8UE,wm3yvb,1.0
B001C8MVKK,wm3yvb,1.0
B001C8MVMW,wm3yvb,1.0
B001C8UC34,wm3yvb,1.0
B001C7U6IH,wm3yvb,1.0
B001C7XXDV,wm6n26,1.0
B001C92AZ7,wm6n26,1.0
B001C7VL90,wm6n26,1.0
B0FFGB5OOF,wm6n26,1.0
B001C7YLGW,wm6n26,1.0
B001C09HSX,wm6n26,1.0
B001C08Z1D,wm6n26,1.0
B0FFG74P2X,wm6n26,1.0
B001C7UOOL,wm6n26,1.0
B001C7XKM1,wm6n26,1.0
B001C7YCAA,wm6n26,1.0
B001C8NQLA,wm6n26,1.0
B001C7YLH1,wm6n26,1.0
B001C09351,wm6n26,1.0
B001C7WMFZ,wm6n26,1.0
B001C7YDEC,wm6n26,1.0
B001C8O7N4,wm6n26,1.0
B001C7X7P3,wm6n26,1.0
B001C08XIA,wm6n26,1.0
B001C09AM0,wm6n26,1.0
B001C06HJJ,wm6n26,1.0
B001C802S7,wm6n26,1.0
B001C7XLBT,wm6n26,1.0
B001C08MIC,wm6n26,1.0
B0FFHXXJS3,wm6n26,1.0
B0FFGFWPK6,wm6n26,1.0
B001C7ZW62,wm6n26,1.0
B001C7Y8NG,wm6n26,1.0
B0FFGYNTKR,wm6n26,1.0
B0FFF39D2K,wm6n26,1.0
B001C0976A,wm6n26,1.0
B001C7Y7HS,wm6n26,1.0
B001C7VDNW,wm6n26,1.0
B001C8MQZ6,wm6n26,1.0
B001C7WLLX,wm6n26,1.0
B001C7Y0RP,wm6n26,1.0
B001C7YLGU,wm6n26,1.0
B0FFG7H3I4,wm6n26,1.0
B001C03BE5,wm6n26,1.0
B001C7WLLW,wm6n26,1.0
B001C7VC6Q,wm6n26,1.0
B001C80MV6,wm6n26,1.0
B001C7XBFA,wm6n26,1.0
B001C7XY48,wm6n26,1.0
B001C802C7,wm6n26,1.0
B001C8WQ9Y,wm6n26,1.0
B001C80VIQ,wm6n26,1.0
B0FFF2JUHX,wm6n26,1.0
B001C7WGWD,wm6n26,1.0
B0FFGCIU1I,wm6n26,1.0
B001C7Y7OK,wm6n26,1.0
B001C7WGW4,wm6n26,1.0
B001C7XBF8,wm6n26,1.0
B001C8MQSF,wm6n26,1.0
B001C7YLGY,wm6n26,1.0
B0FFGER253,wm6n26,1.0
B0FFFPCXO0,wm6n26,1.0
B001C03DBC,wm6n26,1.0
B0FFGER254,wm6n26,1.0
B0FFI6FZSN,wm6njs,1.0
B001C808FQ,wm6njs,1.0
B001C8MO0Z,wm6njs,1.0
B001C802ZG,wm6njs,1.0
B0FFJCE6CB,wm6njs,1.0
B0FFGANB9Z,wm6njs,1.0
B001C7UUL5,wm6njs,1.0
B001C8N0Y2,wm6njs,1.0
